kingdom,phylum,class,order,family,genus,species,iucn_redlist_id,iucn_redlist_category,common_name_en,common_name_fr,common_name_sp,country_distribution
Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Nyctixalus,pictus,58806,NT,"White Spotted Tree Frog",,,"[""BRN"",""IDN"",""MYS"",""PHL"",""SGP"",""THA""]"
Animalia,Chordata,Amphibia,Anura,Bufonidae,Pelophryne,saravacensis,42862554,NT,,,,"[""BRN"",""MYS""]"
Animalia,Chordata,Amphibia,Anura,Bufonidae,Pelophryne,signata,54873,NT,,,,"[""BRN"",""IDN"",""MYS""]"
Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Philautus,ingeri,58856,VU,,,,"[""BRN"",""IDN"",""MYS""]"
Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Philautus,kerangae,58861,VU,,,,"[""BRN"",""MYS""]"
Animalia,Chordata,Amphibia,Anura,Ranidae,Staurois,parvus,135759,VU,,,,"[""BRN"",""MYS""]"
Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,andrewsi,22697742,CR,"Andrews' Frigatebird","Frégate D'andrews",,"[""BRN"",""CXR"",""IND"",""IDN"",""MYS"",""PHL"",""THA""]"
Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,zeylanicus,22712603,CR,"Straw Crowned Bulbul",,,"[""BRN"",""IDN"",""MYS"",""SGP"",""THA""]"
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhinoplax,vigil,22682464,CR,"Helmeted Hornbill",,"Cálao De Casco","[""BRN"",""IDN"",""MYS"",""MMR"",""PHL"",""THA""]"
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Berenicornis,comatus,22682507,EN,,,,"[""BRN"",""IDN"",""MYS"",""MMR"",""PHL"",""THA""]"
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,stormi,22697685,EN,"Storm S Stork",,,"[""BRN"",""IDN"",""MYS"",""THA""]"
Animalia,Chordata,Aves,Galliformes,Phasianidae,Polyplectron,schleiermacheri,22679393,EN,"Bornean Peacock Pheasant",,"Espolonero De Borneo","[""BRN"",""IDN"",""MYS""]"
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhabdotorrhinus,corrugatus,22682514,EN,,,,"[""BRN"",""IDN"",""MYS"",""SGP"",""THA""]"
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Actenoides,concretus,22683532,NT,"Rufous Collared Kingfisher",,,"[""BRN"",""IDN"",""MYS"",""PHL"",""THA""]"
Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,viridissima,22707440,NT,"Green Iora",,,"[""BRN"",""IDN"",""MYS"",""MMR"",""PHL"",""THA""]"
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,peninsulae,22726979,NT,,,,"[""BRN"",""IDN"",""MYS"",""MMR"",""THA""]"
Animalia,Chordata,Aves,Passeriformes,Leiotrichidae,Alcippe,brunneicauda,22716630,NT,"Brown Fulvetta",,,"[""BRN"",""IDN"",""MYS"",""THA""]"
Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Alophoixus,finschii,22713137,NT,"Finsch S Bulbul",,,"[""BRN"",""IDN"",""MYS"",""THA""]"
Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Anorrhinus,galeritus,22682485,NT,"Bushy Crested Hornbill",,,"[""BRN"",""IDN"",""MYS"",""SGP"",""THA""]"
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anthreptes,rhodolaemus,22717618,NT,"Red Throated Sunbird",,,"[""BRN"",""IDN"",""MYS"",""MMR"",""THA""]"
Animalia,Chordata,Aves,Galliformes,Phasianidae,Argusianus,argus,22725006,NT,"Great Argus",,"Argos Real","[""BRN"",""IDN"",""MYS"",""THA""]"
Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,Batrachostomus,auritus,22689591,NT,"Large Frogmouth",,,"[""BRN"",""IDN"",""MYS"",""PHL"",""THA""]"
Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,Batrachostomus,stellatus,22689600,NT,"Gould S Frogmouth",,,"[""BRN"",""IDN"",""MYS"",""THA""]"
